Participant,Programme_Name_Participant_Is_Part_Of,Programme_ID
MESSMERIZING_CURIOSITY SETS THINGS IN MOTION,Eilamp / Egglamp,163
Artificial Nature,Eilamp / Egglamp,163
"PIANI - circular, light, convertible",Eilamp / Egglamp,163
Camping,Eilamp / Egglamp,163
Ribbed,Eilamp / Egglamp,163
outil.li,WasteBase | A new purpose for residual streams,489
"PIANI - circular, light, convertible",WasteBase | A new purpose for residual streams,489
Research to Reconnect,WasteBase | A new purpose for residual streams,489
Living Coffin,WasteBase | A new purpose for residual streams,489
Embassy of Water,WasteBase | A new purpose for residual streams,489
outil.li,WasteBase | A new purpose for residual streams,489
"PIANI - circular, light, convertible",WasteBase | A new purpose for residual streams,489
Research to Reconnect,WasteBase | A new purpose for residual streams,489
Living Coffin,WasteBase | A new purpose for residual streams,489
Embassy of Water,WasteBase | A new purpose for residual streams,489
"Broccopork, Mushchicken and Peaf",Spacefarming,408
Fungal Wars,Spacefarming,408
DommelPolitics,Spacefarming,408
"Chthulu, beauty designed for extreme futures",Spacefarming,408
Terra Firma,Spacefarming,408
"Broccopork, Mushchicken and Peaf",Spacefarming,408
Fungal Wars,Spacefarming,408
DommelPolitics,Spacefarming,408
"Chthulu, beauty designed for extreme futures",Spacefarming,408
Terra Firma,Spacefarming,408
Design Beyond Vision,Een eerlijke start voor de generatie van morgen,161
Design approach for social transitions,Een eerlijke start voor de generatie van morgen,161
Embassy of Inclusive Society,Een eerlijke start voor de generatie van morgen,161
Kiwi - Ending painful sex,Een eerlijke start voor de generatie van morgen,161
Dialogues of the Unheard,Een eerlijke start voor de generatie van morgen,161
Design Beyond Vision,Een eerlijke start voor de generatie van morgen,161
Design approach for social transitions,Een eerlijke start voor de generatie van morgen,161
Embassy of Inclusive Society,Een eerlijke start voor de generatie van morgen,161
Kiwi - Ending painful sex,Een eerlijke start voor de generatie van morgen,161
Dialogues of the Unheard,Een eerlijke start voor de generatie van morgen,161
The ManyTree,Gas to Green,211
"""Rain"" Watchers",Gas to Green,211
Exploring the field of IN_,Gas to Green,211
CircleFarm : The community garden,Gas to Green,211
Will Water Want,Gas to Green,211
The ManyTree,Gas to Green,211
"""Rain"" Watchers",Gas to Green,211
Exploring the field of IN_,Gas to Green,211
CircleFarm : The community garden,Gas to Green,211
Will Water Want,Gas to Green,211
Mahjouba Motor,PERPETUUM MOBILE by KIKI X JOOST,346
| STEVEN BANKEN |,PERPETUUM MOBILE by KIKI X JOOST,346
Women & Design - Market and talks,PERPETUUM MOBILE by KIKI X JOOST,346
BA Jewellery + MA Design & Future Making,PERPETUUM MOBILE by KIKI X JOOST,346
Antifragile Ceramics,PERPETUUM MOBILE by KIKI X JOOST,346
Mahjouba Motor,PERPETUUM MOBILE by KIKI X JOOST,346
| STEVEN BANKEN |,PERPETUUM MOBILE by KIKI X JOOST,346
Women & Design - Market and talks,PERPETUUM MOBILE by KIKI X JOOST,346
BA Jewellery + MA Design & Future Making,PERPETUUM MOBILE by KIKI X JOOST,346
Antifragile Ceramics,PERPETUUM MOBILE by KIKI X JOOST,346
Illuminating landscapes,Illuminating Landscapes,241
Illuminating landscapes,Illuminating Landscapes,244
Illuminating Landscapes,Illuminating Landscapes,241
Illuminating Landscapes,Illuminating Landscapes,244
Illuminating landscapes,Illuminating Landscapes,241
Illuminating landscapes,Illuminating Landscapes,244
Illuminating landscapes,Illuminating Landscapes,241
Illuminating landscapes,Illuminating Landscapes,244
Illuminating landscapes,Illuminating Landscapes,241
Illuminating landscapes,Illuminating Landscapes,244
Illuminating Landscapes,Illuminating Landscapes,241
Illuminating Landscapes,Illuminating Landscapes,244
Illuminating landscapes,Illuminating Landscapes,241
Illuminating landscapes,Illuminating Landscapes,244
Illuminating landscapes,Illuminating Landscapes,241
Illuminating landscapes,Illuminating Landscapes,244
The Body is a Movement,PRIMAL A.I.,356
Stimuleringsfonds presents Talent,PRIMAL A.I.,356
Beetle Convicted After Spruce Found Dead,PRIMAL A.I.,356
AI-driven phygital fashion collection,PRIMAL A.I.,356
It giet oan!,PRIMAL A.I.,356
The Body is a Movement,PRIMAL A.I.,356
Stimuleringsfonds presents Talent,PRIMAL A.I.,356
Beetle Convicted After Spruce Found Dead,PRIMAL A.I.,356
AI-driven phygital fashion collection,PRIMAL A.I.,356
It giet oan!,PRIMAL A.I.,356
Just One Brick,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
attenzione,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Samenbouw: self-build affordable housing,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Exploring the field of IN_,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Light makes you see colour,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Just One Brick,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
attenzione,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Samenbouw: self-build affordable housing,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Exploring the field of IN_,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Light makes you see colour,interCHANGES | LIVING ENVIRONMENT x THRIVING PLANET,257
Beyond Disposal,interCHANGES expo,254
(Not) Jammed,interCHANGES expo,254
Over mening valt niet te twisten,interCHANGES expo,254
Doucette,interCHANGES expo,254
Disembodied voices from beyond the horizon,interCHANGES expo,254
Beyond Disposal,interCHANGES expo,254
(Not) Jammed,interCHANGES expo,254
Over mening valt niet te twisten,interCHANGES expo,254
Doucette,interCHANGES expo,254
Disembodied voices from beyond the horizon,interCHANGES expo,254
CurioCity for future living | Living LAB 040 Café,interCHANGES | DIGITAL FUTURE,255
Network Applied Design Research,interCHANGES | DIGITAL FUTURE,255
interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,interCHANGES | DIGITAL FUTURE,255
Tour de Contrôle,interCHANGES | DIGITAL FUTURE,255
Environmental Amnesia,interCHANGES | DIGITAL FUTURE,255
CurioCity for future living | Living LAB 040 Café,interCHANGES | DIGITAL FUTURE,255
Network Applied Design Research,interCHANGES | DIGITAL FUTURE,255
interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,interCHANGES | DIGITAL FUTURE,255
Tour de Contrôle,interCHANGES | DIGITAL FUTURE,255
Environmental Amnesia,interCHANGES | DIGITAL FUTURE,255
Kiwi - Ending painful sex,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Brick: a medium to reveal (de)colonial history,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Intelligentie Ontleed,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Design approach for social transitions,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Little Big Futures,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Kiwi - Ending painful sex,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Brick: a medium to reveal (de)colonial history,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Intelligentie Ontleed,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Design approach for social transitions,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Little Big Futures,interCHANGES | HEALTH & WELLBEING x EQUAL SOCIETY,256
Weapons of Mass Seduction,"Death, Taxes, & Advertisements",121
A Cringe a Day Keeps Platform Capitalism Away,"Death, Taxes, & Advertisements",121
FAKE IT TILL YOU MAKE IT,"Death, Taxes, & Advertisements",121
The Meme Bootcamp,"Death, Taxes, & Advertisements",121
Minecraft Story Mode is Cool,"Death, Taxes, & Advertisements",121
Alkaloid Dream,"Death, Taxes, & Advertisements",121
Midocracy Sinkhole Vortex,"Death, Taxes, & Advertisements",121
DOUBLE DIP,"Death, Taxes, & Advertisements",121
Eat Dust,"Death, Taxes, & Advertisements",121
Weapons of Mass Seduction,"Death, Taxes, & Advertisements",121
A Cringe a Day Keeps Platform Capitalism Away,"Death, Taxes, & Advertisements",121
FAKE IT TILL YOU MAKE IT,"Death, Taxes, & Advertisements",121
The Meme Bootcamp,"Death, Taxes, & Advertisements",121
Minecraft Story Mode is Cool,"Death, Taxes, & Advertisements",121
Alkaloid Dream,"Death, Taxes, & Advertisements",121
Midocracy Sinkhole Vortex,"Death, Taxes, & Advertisements",121
DOUBLE DIP,"Death, Taxes, & Advertisements",121
Eat Dust,"Death, Taxes, & Advertisements",121
"Death, Taxes, & Advertisements",Weapons of Mass Seduction,495
A Cringe a Day Keeps Platform Capitalism Away,Weapons of Mass Seduction,495
FAKE IT TILL YOU MAKE IT,Weapons of Mass Seduction,495
The Meme Bootcamp,Weapons of Mass Seduction,495
Minecraft Story Mode is Cool,Weapons of Mass Seduction,495
Alkaloid Dream,Weapons of Mass Seduction,495
Midocracy Sinkhole Vortex,Weapons of Mass Seduction,495
DOUBLE DIP,Weapons of Mass Seduction,495
Eat Dust,Weapons of Mass Seduction,495
"Death, Taxes, & Advertisements",Weapons of Mass Seduction,495
A Cringe a Day Keeps Platform Capitalism Away,Weapons of Mass Seduction,495
FAKE IT TILL YOU MAKE IT,Weapons of Mass Seduction,495
The Meme Bootcamp,Weapons of Mass Seduction,495
Minecraft Story Mode is Cool,Weapons of Mass Seduction,495
Alkaloid Dream,Weapons of Mass Seduction,495
Midocracy Sinkhole Vortex,Weapons of Mass Seduction,495
DOUBLE DIP,Weapons of Mass Seduction,495
Eat Dust,Weapons of Mass Seduction,495
"Death, Taxes, & Advertisements",A Cringe a Day Keeps Platform Capitalism Away,14
Weapons of Mass Seduction,A Cringe a Day Keeps Platform Capitalism Away,14
FAKE IT TILL YOU MAKE IT,A Cringe a Day Keeps Platform Capitalism Away,14
The Meme Bootcamp,A Cringe a Day Keeps Platform Capitalism Away,14
Minecraft Story Mode is Cool,A Cringe a Day Keeps Platform Capitalism Away,14
Alkaloid Dream,A Cringe a Day Keeps Platform Capitalism Away,14
Midocracy Sinkhole Vortex,A Cringe a Day Keeps Platform Capitalism Away,14
DOUBLE DIP,A Cringe a Day Keeps Platform Capitalism Away,14
Eat Dust,A Cringe a Day Keeps Platform Capitalism Away,14
"Death, Taxes, & Advertisements",A Cringe a Day Keeps Platform Capitalism Away,14
Weapons of Mass Seduction,A Cringe a Day Keeps Platform Capitalism Away,14
FAKE IT TILL YOU MAKE IT,A Cringe a Day Keeps Platform Capitalism Away,14
The Meme Bootcamp,A Cringe a Day Keeps Platform Capitalism Away,14
Minecraft Story Mode is Cool,A Cringe a Day Keeps Platform Capitalism Away,14
Alkaloid Dream,A Cringe a Day Keeps Platform Capitalism Away,14
Midocracy Sinkhole Vortex,A Cringe a Day Keeps Platform Capitalism Away,14
DOUBLE DIP,A Cringe a Day Keeps Platform Capitalism Away,14
Eat Dust,A Cringe a Day Keeps Platform Capitalism Away,14
"Death, Taxes, & Advertisements",FAKE IT TILL YOU MAKE IT,185
Weapons of Mass Seduction,FAKE IT TILL YOU MAKE IT,185
A Cringe a Day Keeps Platform Capitalism Away,FAKE IT TILL YOU MAKE IT,185
The Meme Bootcamp,FAKE IT TILL YOU MAKE IT,185
Minecraft Story Mode is Cool,FAKE IT TILL YOU MAKE IT,185
Alkaloid Dream,FAKE IT TILL YOU MAKE IT,185
Midocracy Sinkhole Vortex,FAKE IT TILL YOU MAKE IT,185
DOUBLE DIP,FAKE IT TILL YOU MAKE IT,185
Eat Dust,FAKE IT TILL YOU MAKE IT,185
"Death, Taxes, & Advertisements",FAKE IT TILL YOU MAKE IT,185
Weapons of Mass Seduction,FAKE IT TILL YOU MAKE IT,185
A Cringe a Day Keeps Platform Capitalism Away,FAKE IT TILL YOU MAKE IT,185
The Meme Bootcamp,FAKE IT TILL YOU MAKE IT,185
Minecraft Story Mode is Cool,FAKE IT TILL YOU MAKE IT,185
Alkaloid Dream,FAKE IT TILL YOU MAKE IT,185
Midocracy Sinkhole Vortex,FAKE IT TILL YOU MAKE IT,185
DOUBLE DIP,FAKE IT TILL YOU MAKE IT,185
Eat Dust,FAKE IT TILL YOU MAKE IT,185
"Death, Taxes, & Advertisements",The Meme Bootcamp,446
Weapons of Mass Seduction,The Meme Bootcamp,446
A Cringe a Day Keeps Platform Capitalism Away,The Meme Bootcamp,446
FAKE IT TILL YOU MAKE IT,The Meme Bootcamp,446
Minecraft Story Mode is Cool,The Meme Bootcamp,446
Alkaloid Dream,The Meme Bootcamp,446
Midocracy Sinkhole Vortex,The Meme Bootcamp,446
DOUBLE DIP,The Meme Bootcamp,446
Eat Dust,The Meme Bootcamp,446
"Death, Taxes, & Advertisements",The Meme Bootcamp,446
Weapons of Mass Seduction,The Meme Bootcamp,446
A Cringe a Day Keeps Platform Capitalism Away,The Meme Bootcamp,446
FAKE IT TILL YOU MAKE IT,The Meme Bootcamp,446
Minecraft Story Mode is Cool,The Meme Bootcamp,446
Alkaloid Dream,The Meme Bootcamp,446
Midocracy Sinkhole Vortex,The Meme Bootcamp,446
DOUBLE DIP,The Meme Bootcamp,446
Eat Dust,The Meme Bootcamp,446
"Death, Taxes, & Advertisements",Minecraft Story Mode is Cool,309
Weapons of Mass Seduction,Minecraft Story Mode is Cool,309
A Cringe a Day Keeps Platform Capitalism Away,Minecraft Story Mode is Cool,309
FAKE IT TILL YOU MAKE IT,Minecraft Story Mode is Cool,309
The Meme Bootcamp,Minecraft Story Mode is Cool,309
Alkaloid Dream,Minecraft Story Mode is Cool,309
Midocracy Sinkhole Vortex,Minecraft Story Mode is Cool,309
DOUBLE DIP,Minecraft Story Mode is Cool,309
Eat Dust,Minecraft Story Mode is Cool,309
"Death, Taxes, & Advertisements",Minecraft Story Mode is Cool,309
Weapons of Mass Seduction,Minecraft Story Mode is Cool,309
A Cringe a Day Keeps Platform Capitalism Away,Minecraft Story Mode is Cool,309
FAKE IT TILL YOU MAKE IT,Minecraft Story Mode is Cool,309
The Meme Bootcamp,Minecraft Story Mode is Cool,309
Alkaloid Dream,Minecraft Story Mode is Cool,309
Midocracy Sinkhole Vortex,Minecraft Story Mode is Cool,309
DOUBLE DIP,Minecraft Story Mode is Cool,309
Eat Dust,Minecraft Story Mode is Cool,309
"Death, Taxes, & Advertisements",Midocracy Sinkhole Vortex,307
Weapons of Mass Seduction,Midocracy Sinkhole Vortex,307
A Cringe a Day Keeps Platform Capitalism Away,Midocracy Sinkhole Vortex,307
FAKE IT TILL YOU MAKE IT,Midocracy Sinkhole Vortex,307
The Meme Bootcamp,Midocracy Sinkhole Vortex,307
Minecraft Story Mode is Cool,Midocracy Sinkhole Vortex,307
Alkaloid Dream,Midocracy Sinkhole Vortex,307
DOUBLE DIP,Midocracy Sinkhole Vortex,307
Eat Dust,Midocracy Sinkhole Vortex,307
"Death, Taxes, & Advertisements",Midocracy Sinkhole Vortex,307
Weapons of Mass Seduction,Midocracy Sinkhole Vortex,307
A Cringe a Day Keeps Platform Capitalism Away,Midocracy Sinkhole Vortex,307
FAKE IT TILL YOU MAKE IT,Midocracy Sinkhole Vortex,307
The Meme Bootcamp,Midocracy Sinkhole Vortex,307
