Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
11,1m2 Collective at Sectie-C,"We are 1m2 Collective;
An interdisciplinary design platform that strives for a more diverse and inclusive design industry.","Sectie-C area, Hall 14 - Kop van 14, Daalakkersweg 14",,"In just 1m2 of ground space we will exhibit as many designers as possible. To give opportunity to starting, self taught and student designers for exposure, as well as making a statement about the inclusivity of design festivals.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1m2atddwfrontviewwithpeatlerz4492-94-photobyrozaschous_1694629951_1800x1010.jpg,https://ddw.nl/en/programme/10625/1m2-collective-at-sectie-c,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
12,"3Phase House, a Project of Sustainable Re-Homing",Purposeful place-making and collective empowerment through design.,"Strijp T+R area, BioArt Laboratories, Oirschotsedijk 14-10",Free,"This rural Armenia family dwelling design is aligned with a government initiative for development outside the capital. Strategized in 3 phases due to the loan disbursement, the design aims to invigorate surroundings as it emerges from the land, fostering harmony between occupants and ecosystem.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/arine-aprahamian-ddw-3phase-house_1693476533_1800x1010.jpg,https://ddw.nl/en/programme/10204/3phase-house-a-project-of-sustainable-re-homing,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
13,A Bite of Void,,"Centre area, Albert van Abbehuis, Bilderdijklaan 19",Free,"Starting from the critical approach on modern excess of positivity, the exhibition brings up a prevailing emotion of the time, 'sense of void.' Each projects grant own shapes and colors to it, allowing audience to contemplate the potholes of one’s life and question what a ‘better future’ truly is.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/poster_1693494796_1800x1010.jpg,https://ddw.nl/en/programme/9871/a-bite-of-void,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
14,A Cringe a Day Keeps Platform Capitalism Away,"The cringe calendar is designed for those who are chronically online, making their stomachs churn and eyes squint.","Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Instagram is fun, but the pendulum is seemingly shifting away from posting on the grid.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/cringe-or-cool-ieva_1693644704_1800x1010.jpg,https://ddw.nl/en/programme/10729/a-cringe-a-day-keeps-platform-capitalism-away,,
15,A Fearless City,Reshaping gender related fear in public space through “empowerment” and “eyes on the street”.,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"A Fearless City approaches gender-related fear in public space through various design applications.

The aim of the project is to empower and sensitize bystanders to take a proactive role. The designs facilitate conversations and focus on physically taking place in public space.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/letokeunen-hoofdbeeld2-min-2_1693511532_1800x1010.jpg,https://ddw.nl/en/programme/10790/a-fearless-city,,
16,A Horse With An Attitude,Queer Kinship As Methodology,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,A Horse With an Attitude explores the relationship between identity and design through the perspective of the designer’s queer identity.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/beeld-1-hoofdbeeld-a-horse-with-an-attitude-karel-op-t-eynde-min_1693518109_1800x1010.jpg,https://ddw.nl/en/programme/10792/a-horse-with-an-attitude,,
17,A Mere Excuse,A Design for the Preservation and Exposure of Turkish Coffee Practices,"Station area, Design Perron, Fuutlaan 12",Free,"As some cultures are expanding, it leaves less and less space for others. This issue arises in many practices of everyday life, including coffee practices. A Mere Excuse is a coffee set designed for the preservation and exposure of Turkish coffee practices in the global coffee culture.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/a-mere-excuse-ddw-1_1691682865_1800x1010.jpg,https://ddw.nl/en/programme/10417/a-mere-excuse,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
18,A New World - tarot performance,Understanding our internal patterns is crucial in order to evolve into A New World. The ultimate goal is to initiate self-actualization.,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"A ritualistic divination by Giek_1, exploring souls and unveiling life paths. This shamanic-inspired journey reveals hidden powers, tapping into metaphysical wisdom, fostering healing and personal growth amidst the current global shifts.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/giekfashion-church-by-waltherlekon-web-54_1694428926_1800x1010.jpg,https://ddw.nl/en/programme/10953/a-new-world-tarot-performance,,
19,A place to look forward to,Barriers in the public space,"Strijp-S area, Ketelhuisplein, Ketelhuisplein",Free,"By altering everyday objects, which we often take for granted, we aim to playfully shed light on the overlooked thresholds. Our installation actively seeks interaction with the audience.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/d18f02c5-a938-4748-8c8d-427c4d4674d8_1695740246_1800x1010.JPG,https://ddw.nl/en/programme/9962/a-place-to-look-forward-to,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Social Design
20,"A playful, adaptable furniture system",,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"NINETY represents our commitment to locally sourced, adaptable furniture that provides the consumer with the option to interchange modular furniture pieces between varying styled collections.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/blur-4-circle-orange-03_1693910860_1800x1010.png,https://ddw.nl/en/programme/10084/a-playful-adaptable-furniture-system,"[""EXHIBITIONS"", ""PRODUCT & CRAFT DESIGN""]",Industrial Design
21,A walk in the Symbiocene,A multispecies future garden experience,"West area, Multispecies Dream Garden, Zeelsterstraat 80",Free,"This exhibition revolves around the question: 'what could a garden in the new age of the Symbiocene look like?' The Symbiocene is the new era where we collaborate with the world around us, instead of exploiting her. Experience a garden full of projects that symbiolize this new era.",https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/lighthouse-1bae549ee_1695714512.webp,https://ddw.nl/en/programme/10260/a-walk-in-the-symbiocene,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Bio Design
22,A weave melody,,"Station area, Design Perron, Fuutlaan 12",Free,"‘A weave melody’ is a collection of woven textiles drawing inspiration from music composition. It explores different ways music can influence design choices such as colours, pattern or binding. The interest is to translate a hearing experience into a visual one and connecting two art form together.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/2_1693507050_1800x1010.jpg,https://ddw.nl/en/programme/10877/a-weave-melody,,
23,aBiogenesis,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"A conceptual reimagining of the ""lipid world"" theory which postulates that life originated from lipids forming membranes which envelop matter and nutrients to form protocells.
https://www.instagram.com/mrk.ism/",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/markos44_1693946048_1800x1010.JPG,https://ddw.nl/en/programme/10959/abiogenesis,,
24,Absurdity in Making,Tickling Imagined Boundaries,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Absurdity in Making is a collective exploring absurdity as a means to challenge norms, bridging reality and imagination. Humans often draw imaginary boundaries across societal layers, influencing behaviors and shaping our world. We target the absurdity arising from the divisions these lines create.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/absurd-image_1694699446_1800x1010.jpg,https://ddw.nl/en/programme/10154/absurdity-in-making,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN"", ""GROUP EXHIBITION""]",Social Design
25,act of a line,,"Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,"Act of a line is a serie of wall sculptures that function as serene yet captivating statement piece within an interior. The glass bead embroided bas reliefs stem directly from designs, created by hand in an automatic, intuitive process, merely referring to themselves.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/stvincents-marijkedecock-catalogue-3_1694009681_1800x1010.jpg,https://ddw.nl/en/programme/10967/act-of-a-line,,
26,Active Tours for new Living Concepts,Curious about the city of tomorrow? Take a look around the Living LAB 040 and at Minitopia during one of the tours with workshops on 25 or 26 October.,"Other area, Living LAB 040, Castilielaan 15",,"In Buurtschap Te Veld, we are in search for answers to housing needs. Living Lab 040 is a residential area and experimental environment regarding living in the city of tomorrow. At Minitopia, residents are already realising their personal dreams. Plenty of inspiration for living today and tomorrow.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/living-lab-rondleidingen_1693492344_1800x1010.png,https://ddw.nl/en/programme/9858/active-tours-for-new-living-concepts,"[""WORKSHOP"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
27,Ad Terram,,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"Ad Terram rethinks the ritual of ash scattering. Exposed to wind, the earthen urn will erode, allowing the ashes to be gradually absorbed by nature.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/adterram-katoherbots_1693482830_1800x1010.jpg,https://ddw.nl/en/programme/10789/ad-terram,,
28,Afro-Surinamese Textile Heritage,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"The Afro-Surinamese Textile Heritage presentation at the Dutch Design Week exists of a serie angisa's collected by Jane Stjeward-Schubert, and two full koto costumes made by Tailors and Wearers. The symbols, images and drawings printed on the cloths tell the stories of a community and its history.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/cover-goma-weri_1693228380_1800x1010.jpeg,https://ddw.nl/en/programme/10531/afro-surinamese-textile-heritage,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Design Research
29,Agency for Unseen Sights,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,The Agency is a newly founded agency that provides an infrastructure to transform places that at first glance do not seem particularly worth seeing into a place of interest. They question the way of travelling in order to create new perspectives and experiences.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/project-agencyforunseensights-esmee-willemen-highres-1_1694030477_1800x1010.jpg,https://ddw.nl/en/programme/10972/agency-for-unseen-sights,,
30,AI-driven phygital fashion collection,AImagination - an AI-driven Phygital Fashion Collection,"Woensel area, KAROESELL, Edisonstraat 147A",Free,"This project is driven by a mission to revolutionize the fashion industry by leveraging cutting-edge technologies and sustainable practices. we continuously push the boundaries of creativity and innovation to develop applications that can reshape the way fashion is designed, produced, and consumed.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-visual-1_1693501499_1800x1010.jpg,https://ddw.nl/en/programme/10532/ai-driven-phygital-fashion-collection,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
31,Airlay,,"Station area, Design Perron, Fuutlaan 12",Free,"Airlay is a versatile and comfortable sitting and reclining chair. Its innovative self-inflating mechanism adjusts the seating position through a valve. It adapts to body weight and movements, creates a dynamic seating experience for in- and outdoor use and allows different covers",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/airlay-oskar-bigalke-highres-12_1694938022_1800x1010.jpeg,https://ddw.nl/en/programme/11076/airlay,,
32,algae,"– on the utilisation and integration of the microorganisms
.","Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"algae explores new methods of cultivating microalgae. By 3D printing clay, a special surface was created that the algae can adhere to and grow on. This is not only advantageous in algae cultivation, but also opens up completely new possibilities for applications and integrations.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/algae-01_1694635611_1800x1010.jpg,https://ddw.nl/en/programme/11000/algae,,
33,ALIVE - Fashioncreations of prepared and living plants,Creations of prepared and living plants,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Last year Agnes presented her special creations of orange peel material and mummified cabbage leaf. This edition of Manifestations she goes a step further and exhibits a creation with real, unprocessed plants. Plants that stay alive and continue to grow.

www.agnesvandijk.com",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/agnes-van-dijk-ddw-detail-alive-klein_1694386498_1800x1010.jpg,https://ddw.nl/en/programme/11025/alive-fashioncreations-of-prepared-and-living-plants,,
34,Alkaloid Dream,,"Hallenweg area, De Fabriek, Baarsstraat 38",Free,"The seeds derived from Areca trees encompass alkaloids. In Taiwan, the betel nut industry has become an issue that the government must remediate, given its pervasive overindulgence. These installations encapsulate contradictory aspirations through the betel nut industry’s visual language.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/cover-hor-comp_1694465980_1800x1010.jpg,https://ddw.nl/en/programme/10735/alkaloid-dream,,
35,Alternative Openings,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"In Alternative Openings, Gijsen takes a simple object, a lock. She uses this object to talk about one of the biggest social structures our world knows — ownership. In the format of a workshop, she teaches visitors how to alternatively open these spatial puzzles.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/manual_1693953828_1800x1010.jpg,https://ddw.nl/en/programme/10966/alternative-openings,,
36,Ambassade van de Noordzee,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-ambassade-van-de-noordzee-vernieuwing-in-het-recht-dda23-design-research-photo-by-cleo-campert_1689586044_1800x1010.jpg,https://ddw.nl/en/programme/10485/ambassade-van-de-noordzee,,
37,Amended 2.0,"Waste not, want not.","Station area, Stationshal - Zuidhal - Eindhoven Centraal Station, Stationsplein 22",Free,Amended 2.0 is the second collection of furniture pieces that seamlessly builds upon my project Amended in 2022. I continue the story of transforming polystyrene packaging and incorporating discarded aluminum fragments.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/amended-01-stool-2-landscape_1693564693_1800x1010.png,https://ddw.nl/en/programme/10580/amended-20,,
38,Analog Aesthetics,Analog Fundamentals for Graphic Designers,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"Analog Aesthetics is the new workshop-style DIY-zine of Novo Typo. This publication and accompanying expo shows how we can produce our own locally sourced paper and plantbased inks, in order to create our own parameters of design. The publication explains how we can de-industrialize our profession.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/novotypo-ddw-01-web_1687948511_1800x1010.jpg,https://ddw.nl/en/programme/9970/analog-aesthetics,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Circular Design
39,Annelies Hermsen @ Van Abbemuseum Vitrine,,"Other area, Van Abbemuseum Vitrine Van der Valk Eindhoven, Aalsterweg 322",Free,"Food designer Annelies Hermsen presents a selection of works from the Van Abbemuseum's collection in the display case of the Van der Valk Hotel Eindhoven. With works by Marcel Broodthaers, Julia Lohmann and Maryam Jafri. They question the relationship between people and the meat industry.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/julia-lohmann-8_1692803421_1800x1010.jpg,https://ddw.nl/en/programme/10178/annelies-hermsen-at-van-abbemuseum-vitrine,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
40,Antifragile Ceramics,‘Antifragile Ceramics’ is part of the exhibition ‘Something Fragile’ in the former brewery of the Schellens Factory.,"Centre area, Schellens Fabriek, Bleekweg 1M",Free,"The inspiration for the pieces on show came from the word Antifragile.

Author Nassim Taleb defines the term this way: Some things benefit from shocks; they thrive and grow when exposed to volatility, randomness, disorder, and stressors and love adventure, risk, and uncertainty.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/sprouting-double-vase-detail1083-insta800pxl_1693312828_1800x1010.jpg,https://ddw.nl/en/programme/9972/antifragile-ceramics,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
41,Antigoon X Thomas & Jurgen,"See what happens when a human-machine collaboration is thrown into a human-human collaboration, pushing both processes into unexpected directions.","Strijp-S area, Area51- Studio Downstairs, Ketelhuisplein",Free,"Before and during the DDW 2023, Antigoon and Thomas & Jurgen will create new work: To see what happens when a human-machine collaboration is thrown into a human-human collaboration, pushing both processes into unexpected directions. The fruits of their labour will be presented at Area 51.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/poster-antigoon-x-thomasjurgenddw_1693828249_1800x1010.jpeg,https://ddw.nl/en/programme/10525/antigoon-x-thomas-amp-jurgen,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
42,Aptum Lighting x Pinkie Patisserie,Pinkie Patisserie and Aptum present: 'Gold Delight'.,"Centre area, Pinkie Patisserie, Stratumsedijk 6",Free,A design collaboration between light designers and a pastry chef. Does this feels logical? No. Aesthetically pleasing? Absolutely. Sensually delightful? A resounding yes!,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/25-06-2021-pinkiepatisserie-liekevermeulen-h89a9750-webres_1693494797_1800x1010.jpg,https://ddw.nl/en/programme/10463/aptum-lighting-x-pinkie-patisserie,"[""EXHIBITIONS""]",Food Design
43,Arcadia X Gemeente Leeuwarden,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-arcadia-stichting-lf2018-lf2028-bosk-dda23-habitat-gouveneursplein-photo-by-floris-leeuwenberg_1689582872_1800x1010.jpg,https://ddw.nl/en/programme/10492/arcadia-x-gemeente-leeuwarden,,
44,Art Tech Fun AI Robots eGirls Manifestations,"Best of Graduates 2023 Art Academies, International Pioneers , Virtual Worlds..","Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Large exhibition
Art, Tech and Fun! - ROBOTS, E-fashion, Kids.
50 artists of the Future
(mis)Matches between men and technology, being safe and connected.
And, besides our expo in VEEM, we have an extended virtual program: enjoy!
Check for all our streams: www.manifestations.nl",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/image11_1691334504_1800x1010.png,https://ddw.nl/en/programme/9711/art-tech-fun-ai-robots-egirls-manifestations,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
45,Artificial Landscape 2.0,,"Canal area, Koelhuis Eindhoven, Dirk Boutslaan 1",Free,"Multidisciplinary artist Elsemarijn Bruys presents a gigantic inflatable sculpture “Artificial Landscape 2.0”. Placed in the raw industrial space, the artificial object plays with the existing architectural structures and visitors’ sense of perception.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/picture-1_1693503285_1800x1010.png,https://ddw.nl/en/programme/10870/artificial-landscape-20,,
46,Artificial Nature,,"Strijp T+R area, Scheublin & Lindeman Studio, Halvemaanstraat 26",Free,Our research in form language resembles a set of building blocks that we use to create our designs. This minimalistic starting point miraculously develops into an ever expanding collection.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dsc07088-b-scheublinlindeman-ddw_1694644221_1800x1010.jpg,https://ddw.nl/en/programme/10390/artificial-nature,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Interior Design
47,artikel.drei,,"Strijp-S area, Klokgebouw | Hall 2, Klokgebouw 50",Free with DDW Ticket,"""artikel.drei"" addresses three essential aspects for a menstruation-friendly society: 1. Infrastructure: The visibility & consideration of menstrual needs. 2. Education: Ad-free & scientifically-based knowledge. 3. Sustainability: Free access to reusable period products.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/220310-menstruationstassenreiniger-120dpi_1694036630_1800x1010.jpg,https://ddw.nl/en/programme/10976/artikeldrei,,
48,At Spirit Level,"This solo exhibition by Bas van Raay invites a digital-life escape, while rediscovering your inner self.","Strijp-S area, COVA Art Gallery, Philitelaan 73",,"COVA Art Gallery proudly presents 'At Spirit Level', an exhibition by Bas van Raay that offers a break from our digital lives and encourages you to reconnect with your inner self. Amidst the noise of algorithms and online connections, At Spirit Level offers a unique chance for reflection.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bas-van-raaij-web-51_1693231434_1800x1010.jpg,https://ddw.nl/en/programme/10345/at-spirit-level,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""INDEPENDENT & CRITICAL DESIGN""]",Art Design
50,AUSTRAL,,"Strijp T+R area, BioArt Laboratories, Oirschotsedijk 14-10",Free,"Austral is an innovative plant-based biomaterial that provides a substantial advancement in sustainable design. One of the key advantages is its versatility, considering its unique ability to be used for both hard constructions and flexible, transparent materials.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/img-4303jpg-1mb_1693421136_1800x1010.jpg,https://ddw.nl/en/programme/10443/austral,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
51,Award Natuurinclusief Bouwen & Ontwerpen 2023,Award ceremony to announce the best nature-inclusive project,"Strijp-S area, Plug-In-Paviljoen, Leidingstraat 17A",,"Vogelbescherming Nederland presents the Nature-inclusive Building & Design Award to a project that strives to provide opportunities for biodiversity in urban areas.
The nominees will present themselves, after which the jury will announce the most nature-inclusive project of the past two years.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/kerckebos-zeist-foto-fred-van-diem-01_1692887873_1800x1010.jpg,https://ddw.nl/en/programme/9748/award-natuurinclusief-bouwen-amp-ontwerpen-2023,"[""NETWORK EVENT"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN""]",Spatial Planning
52,BA Jewellery + MA Design & Future Making,Tactile Dialogs,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,"Feeling, touching, interacting with others and our surroundings, reflection, critical thinking and communication–that is what we are capable of. Celebrating the joy in craftsmanship in defining roles of design, BA Jewellery and MA Design & Future Making graduates invite us to experience and reflect.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/bozhang-scavenger_1694760304_1800x1010.jpg,https://ddw.nl/en/programme/10970/ba-jewellery-ma-design-amp-future-making,"[""EXHIBITIONS"", ""SIGNATURE & COLLECTIBLE DESIGN"", ""EDUCATION""]",Social Design
